batch_size,activation_function,learning_rate,hidden_layer_width,average_accuracy
10,tanh,0.1,10,100.0
10,tanh,0.1,50,100.0
10,tanh,0.01,10,49.125
10,tanh,0.01,50,52.375
10,relu,0.1,10,100.0
10,relu,0.1,50,100.0
10,relu,0.01,10,99.875
10,relu,0.01,50,100.0
50,tanh,0.1,10,55.0
50,tanh,0.1,50,60.625
50,tanh,0.01,10,48.625
50,tanh,0.01,50,49.625
50,relu,0.1,10,100.0
50,relu,0.1,50,100.0
50,relu,0.01,10,80.25
50,relu,0.01,50,95.5
100,tanh,0.1,10,52.75
100,tanh,0.1,50,50.375
100,tanh,0.01,10,49.0
100,tanh,0.01,50,48.625
100,relu,0.1,10,100.0
100,relu,0.1,50,100.0
100,relu,0.01,10,64.25
100,relu,0.01,50,75.75
