batch_size,activation_function,learning_rate,hidden_layer_width,average_accuracy
10,tanh,0.1,10,96.8864774624374
10,tanh,0.1,50,96.96160267111853
10,tanh,0.01,10,96.7779632721202
10,tanh,0.01,50,96.2186978297162
10,relu,0.1,10,96.36060100166945
10,relu,0.1,50,96.09348914858096
10,relu,0.01,10,96.4941569282137
10,relu,0.01,50,96.51085141903172
50,tanh,0.1,10,96.91151919866444
50,tanh,0.1,50,96.56928213689483
50,tanh,0.01,10,96.32721202003339
50,tanh,0.01,50,96.1686143572621
50,relu,0.1,10,96.4941569282137
50,relu,0.1,50,96.66110183639398
50,relu,0.01,10,96.7779632721202
50,relu,0.01,50,96.74457429048415
100,tanh,0.1,10,96.76961602671118
100,tanh,0.1,50,96.27712854757931
100,tanh,0.01,10,96.2186978297162
100,tanh,0.01,50,96.17696160267113
100,relu,0.1,10,96.50250417362271
100,relu,0.1,50,96.51085141903172
100,relu,0.01,10,96.68614357262103
100,relu,0.01,50,96.7195325542571
